iter	Passed	Remaining
4440	1367	17344441	1370	17304442	1373	17274443	1376	17234444	1379	17204445	1383	17174446	1386	17154447	1388	17114448	1391	17074449	1395	1705
450	1397	1701
451	1400	1697
452	1403	1694
453	1405	1689
454	1408	1686
455	1411	1683
456	1413	1679
457	1416	1676
458	1420	1674
459	1422	1670
460	1426	1668
461	1430	1665
462	1433	1662
463	1436	1659
464	1439	1655
465	1441	1651
466	1444	1648
467	1446	1644
468	1449	16404469	1452	16384470	1455	16344471	1458	1631
472	1461	1627
473	1465	1625
474	1467	1622
475	1470	1619
476	1473	1615
477	1475	16114478	1478	1607
479	1481	1604
480	1483	1601
481	1486	15974482	1489	15934483	1491	15904484	1494	15864485	1496	15834486	1499	15794487	1502	1576488	1501	1569
4489	1508	15704490	1511	1566491	1510	1559
4492	1516	1559493	1516	1553
494	1519	1549
495	1522	1546
496	1524	1542
497	1526	1538
498	1529	1535
499	1531	1531
500	1534	1528
501	1536	1524
502	1539	1521
503	1542	1517
504	1545	1514
505	1547	1510
506	1550	1507
507	1552	1503
508	1555	1500
509	1558	1497
510	1561	1494
511	1564	1491
512	1567	1487
513	1570	1484
514	1572	1480
515	1574	1476
516	1576	1473
517	1579	1469
518	1581	1466
519	1584	1462
520	1586	1458
5521	1592	14585522	1595	14545523	1598	14525524	1601	14485525	1603	14455526	1606	14415527	1608	1437528	1607	1430
529	1609	1427
530	1611	1423
5531	1618	14235532	1621	1420533	1620	1414
534	1622	1410
5535	1629	14105536	1632	14075537	1635	14045538	1638	14015539	1641	13985540	1644	13955541	1646	13915542	1649	13885543	1652	1384544	1651	1378
545	1654	1375
546	1657	1372
547	1659	1369
548	1663	1366
549	1665	1362
550	1668	1359
551	1671	1356
552	1674	1353
553	1676	1349
554	1680	1347
555	1682	1343
556	1685	1340
557	1687	1337
558	1690	1333
559	1693	1330
560	1696	1327
561	1699	1324
562	1702	1321
563	1704	1317
564	1707	1314
565	1710	1311
566	1712	1308
567	1715	1304
568	1718	1301
569	1720	1298
570	1723	1294
571	1726	1291
572	1729	1289
573	1732	1285
574	1734	1281
575	1736	1278
576	1739	1274
577	1741	1271
5578	1747	1270579	1747	1265
580	1749	1262
581	1752	1258
582	1755	1255
583	1759	1253
584	1761	1249
585	1764	1246
586	1768	1244
587	1771	1241
588	1773	1237
589	1776	1234
590	1779	1231
591	1783	1228
592	1785	1225
593	1788	1222
594	1791	1219
595	1793	1215
596	1795	1212
597	1798	1208
598	1800	1205
599	1803	1202
600	1806	1199
601	1809	1196
602	1812	1193
603	1814	1189
604	1816	1186
605	1819	1182
606	1821	1179
607	1824	1176
608	1827	1173
609	1830	1170
610	1832	1166
611	1835	1163
612	1837	1160
613	1841	1157
614	1844	1154
615	1848	1152
616	1851	1149
617	1854	1146
618	1856	1142
619	1859	1139
620	1864	1137
621	1867	1134
622	1869	1131
623	1872	1128
624	1875	1125
625	1879	1122
626	1882	1119
627	1884	1116
628	1887	1113
629	1889	1109
630	1892	1106
631	1895	1103
632	1897	1100
633	1900	1097
634	1903	1094
635	1906	1090
636	1908	1087
637	1911	1084
638	1914	1081
639	1916	1078
640	1920	1075
641	1922	1072
642	1925	1069
643	1928	1065
644	1931	1062
645	1933	1059
646	1936	1056
647	1939	1053
648	1941	1050
649	1944	1047
650	1946	1043
651	1949	1040
652	1952	1037
653	1956	1035
654	1959	1032
655	1962	1029
656	1965	1026
657	1967	1022
658	1970	1019
659	1973	1016
660	1976	1013
661	1978	1010
662	1981	1007
663	1984	1004
664	1986	1000
665	1989	997
666	1992	994
667	1995	991
668	1997	988
669	1999	985
670	2002	981
671	2005	978
672	2008	975
673	2010	972
674	2014	969
675	2017	966
676	2019	963
677	2022	960
678	2025	957
679	2027	954
680	2030	950
681	2032	947
682	2035	944
683	2038	941
684	2041	938
685	2043	935
686	2045	932
687	2048	928
688	2050	925
689	2053	922
690	2055	919
691	2058	916
692	2061	913
693	2064	910
694	2066	907
695	2069	903
696	2071	900
697	2074	897
698	2076	894
699	2079	891
700	2082	888
701	2085	885
702	2088	882
703	2090	878
7704	2096	877705	2096	872
706	2098	869
7707	2105	8687708	2107	8657709	2110	8627710	2112	8587711	2115	8557712	2119	8527713	2122	8507714	2125	8477715	2127	8437716	2129	8407717	2132	8377718	2134	8347719	2137	8317720	2140	8287721	2142	8257722	2145	8217723	2148	8187724	2150	8157725	2154	812
726	2156	8097727	2159	806
728	2162	803
729	2165	801
730	2168	797
731	2171	794
732	2174	792
733	2177	789
734	2180	786
735	2183	783
736	2186	780
737	2189	777
738	2192	774
739	2195	771
740	2198	768
741	2200	765
742	2203	762
743	2206	759
744	2208	755
745	2211	752
746	2213	749
