CID,Name,rdkit_MolWt,rdkit_MolLogP,rdkit_TPSA,rdkit_NumHDonors,rdkit_NumHAcceptors,rdkit_NumRotatableBonds,rdkit_RingCount,rdkit_NumAromaticRings,rdkit_FractionCSP3,rdkit_HeavyAtomCount,has_aldehyde,has_alpha_beta_unsat_aldehyde,has_ketone,has_ester,has_alcohol,has_phenol,has_carboxylic_acid,has_sulfur,has_nitrogen,has_aromatic_ring
16821,gamma-dodecalactone ,198.30599999999995,3.4426000000000023,26.3,0.0,2.0,7.0,1.0,0.0,0.9166666666666666,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17100,alpha-terpineol ,154.25300000000001,2.5037000000000007,20.23,1.0,1.0,1.0,1.0,0.0,0.8,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17121,1-octen-3-yl acetate ,170.25199999999998,2.684400000000001,26.3,0.0,2.0,6.0,0.0,0.0,0.7,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17525,hexyl butyrate ,172.26799999999997,2.910000000000001,26.3,0.0,2.0,7.0,0.0,0.0,0.9,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17617,allyl cyclohexane propionate ,196.28999999999994,3.076100000000002,26.3,0.0,2.0,5.0,1.0,0.0,0.75,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17739,dihydro eugenol ,166.21999999999997,2.353300000000001,29.46,1.0,2.0,3.0,1.0,1.0,0.4,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
18698,delta-nonalactone ,156.225,2.2723000000000004,26.3,0.0,2.0,3.0,1.0,0.0,0.8888888888888888,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18756,ocimene ,136.238,3.4750000000000023,0.0,0.0,0.0,3.0,0.0,0.0,0.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18827,1-octen-3-ol ,128.21499999999997,2.1136000000000004,20.23,1.0,1.0,5.0,0.0,0.0,0.75,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18938,"3,5,5-trimethyl-1-hexanol ",144.25799999999998,2.4411000000000005,20.23,1.0,1.0,3.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19089,phenyl ethyl methyl ether,136.194,1.8755,9.23,0.0,1.0,3.0,1.0,1.0,0.3333333333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20487,octahydrocoumarin ,154.209,1.8822,26.3,0.0,2.0,0.0,2.0,0.0,0.8888888888888888,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20739,folrosia,142.24200000000002,2.1935000000000007,20.23,1.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21059,ethyl maltol,140.13799999999998,0.9077999999999999,50.44,1.0,3.0,1.0,1.0,1.0,0.2857142857142857,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
21648,raspberry ketone ,164.204,1.9137999999999997,37.3,1.0,2.0,3.0,1.0,1.0,0.3,12.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
21895,"2-(phenylmethyl)-1,3-dioxan-5-ol ",194.23,0.9629000000000001,38.69,1.0,3.0,3.0,2.0,1.0,0.45454545454545453,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22310,linalool oxide ,170.25199999999998,1.881,29.46,1.0,2.0,2.0,1.0,0.0,0.8,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22311,limonene,136.238,3.308900000000002,0.0,0.0,0.0,1.0,1.0,0.0,0.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22629,hexyl salicylate ,222.28400000000002,3.129300000000002,46.53,1.0,3.0,6.0,1.0,1.0,0.46153846153846156,16.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24020,ethyl 2-methyl butyrate ,130.18699999999998,1.5956000000000001,26.3,0.0,2.0,3.0,0.0,0.0,0.8571428571428571,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24117,allyl phenoxyacetate ,192.21400000000003,1.7946,35.53,0.0,3.0,5.0,1.0,1.0,0.18181818181818182,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24915,dimethyl benzyl carbinyl butyrate ,220.31199999999998,3.3510000000000018,26.3,0.0,2.0,5.0,1.0,1.0,0.5,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25612,decenol ,156.269,2.8954000000000018,20.23,1.0,1.0,8.0,0.0,0.0,0.8,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26447,l-menthone ,154.253,2.6477000000000013,17.07,0.0,1.0,1.0,1.0,0.0,0.9,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26955,beta-ionone ,192.302,3.6582000000000026,17.07,0.0,1.0,2.0,1.0,0.0,0.6153846153846154,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27866,rose oxide ,154.253,2.7677000000000014,9.23,0.0,1.0,1.0,1.0,0.0,0.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29096,dihydro myrcenol ,156.269,2.7497000000000016,20.23,1.0,1.0,5.0,0.0,0.0,0.8,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31209,amyl cinnamaldehyde ,202.297,3.8492000000000033,17.07,0.0,1.0,6.0,1.0,1.0,0.35714285714285715,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31219,benzyl propionate ,164.204,2.1398,26.3,0.0,2.0,3.0,1.0,1.0,0.3,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
