CID,Name,log_vp,vp
179,acetoin ,-0.1639052927494049,0.685637728201223
240,benzaldehyde ,-0.0010513782936554584,0.99758204
244,benzyl alcohol ,-1.0043290982129913,0.09900814
323,coumarin ,-3.0087739243075053,0.0009799999999999995
326,cumin aldehyde ,-1.2540276050567627,0.055715033366408255
454,octanal ,0.07188200730612536,1.18
798,indole ,-1.9136401693252518,0.012199999999999999
957,octanol ,-1.1853837435236894,0.06525537
1183,vanillin ,-3.9281179926938745,0.00011800000000000002
2345,benzyl benzoate ,-3.6497519816658373,0.00022399999999999997
2758,"1,8-cineol ",0.2787536009528289,1.9
2879,p-cresol ,-0.9488117703631599,0.11250925
3314,eugenol ,-1.5228787452803376,0.029999999999999995
4133,methyl salicylate ,-1.4647058799572295,0.034300000000000004
6054,phenylethyl alcohol ,-1.2218130665523859,0.06000492999999999
6184,hexanal ,1.021189299069938,10.5
6501,aldehyde c-16 strawberry ,-2.4828548431396484,0.0032896156330784144
6532,linalyl isobutyrate ,-2.676589012145996,0.0021057702602126317
6548,tetrahydrolinalool ,-0.8527645468711853,0.1403574447424696
6549,linalool ,-0.8026837346849218,0.15751295
6616,camphene,0.4771569725243357,3.00024674
6631,menthanyl acetate ,-1.8115370273590088,0.01543344834225899
6660,cyclotene ,-1.1870976686477661,0.06499834988740648
6736,skatole ,-0.4617849588394165,0.3453146797725105
6874,isoamyl salicylate ,-2.9019839763641357,0.0012531874114218376
6986,isomenthone ,-0.816676139831543,0.1525189687567018
7007,rosephenone,-3.0556247234344482,0.0008797824139287345
7119,nerolin yara yara ,-0.7284814119338989,0.18686096531659632
7122,methyl beta-naphthyl ketone ,-1.3287529945373535,0.04690800961100034
7129,nerolin bromelia ,-1.3355516195297241,0.04617941005438787
7136,acetyl eugenol ,-3.26098895072937,0.0005482909142982529
7137,acetyl isoeugenol ,-2.731369733810425,0.0018562234982968148
7150,methyl benzoate ,-0.5686005125678958,0.27002221
7165,ethyl benzoate ,-0.6087828874588013,0.2461597898867368
7342,ethyl isobutyrate ,1.1276096105575562,13.415584854551673
7391,p-tert-butylcyclohexanol ,-1.1401138305664062,0.072424610698433
7410,acetophenone ,-0.0010513782936554584,0.99758204
7459,p-menthane ,-3.9113078117370605,0.00012265695762196327
7461,gamma-terpinene ,0.37660202383995056,2.3801373737609213
7462,alpha-terpinene ,0.3388873338699341,2.1821637341767173
7463,p-cymene ,0.17612697686035447,1.50012337
7531,dimethyl benzyl carbinol ,-1.6198607683181763,0.023996020908587195
7583,diphenyl oxide ,-1.6716203965612624,0.021299999999999996
7632,dimethyl phenyl ethyl carbinol ,-1.503248691558838,0.03138710848268433
7646,benzyl isobutyrate ,-2.154526948928833,0.007006047074518619
7650,benzyl n-butyrate,-2.1688923835754395,0.0067780944525499985
7654,phenylethyl acetate ,-1.1420776844024658,0.07209785026564032
7655,phenylethyl isobutyrate ,-2.3142402172088623,0.004850201513345772
7695,anisyl acetate ,-1.9803500175476074,0.01046284959825599
7704,gamma-octanoic lactone ,-0.5220451951026917,0.3005763489861935
7708,benzyl formate ,-1.401079773902893,0.039711859756353475
7710,gamma-nonalactone ,-0.7673310041427612,0.17087124974615792
