,CID,bp_value,bp_source
204,228987,202.62214241922823,predicted
205,522514,193.7218689673021,predicted
206,22311,177.778,experimental
207,6549,195.5,experimental
208,22310,193.5,experimental
209,8294,220.0,experimental
210,61040,231.5623368781852,predicted
211,6532,229.0,experimental
212,16666,216.111,experimental
213,26447,208.5,experimental
214,91604,270.03371812660066,predicted
215,8369,92.778,experimental
216,5283361,172.40690381819263,predicted
217,62902,137.4122967683278,predicted
218,61016,120.20134791123701,predicted
219,3017783,170.79114661065978,predicted
220,6631,208.2834603432343,predicted
221,8499,244.5,experimental
222,8635,239.5,experimental
223,7150,198.333,experimental
224,7122,300.5,experimental
225,12180,102.5,experimental
226,637520,179.2185443724344,predicted
227,102861,234.11425899300843,predicted
228,5372174,231.28398915279695,predicted
229,637776,222.67484019837661,predicted
230,8163,232.0,experimental
231,8137,166.26961744998448,predicted
232,4133,223.0,experimental
233,57353762,269.04500287504237,predicted
234,10947,324.5,experimental
235,93199,228.0,experimental
236,31253,166.5,experimental
237,14235,281.6178051046554,predicted
238,643820,125.0,experimental
239,5284507,272.84447221817095,predicted
240,7129,282.0,experimental
241,7119,274.0,experimental
242,1549025,186.09902338281734,predicted
243,31289,191.111,experimental
244,8914,215.0,experimental
245,1268142,267.28817780573104,predicted
246,929336,238.31630131438112,predicted
247,116699,260.0472884141558,predicted
248,18756,158.113384135371,predicted
249,20487,173.98531070623733,predicted
250,454,114.20860082665604,predicted
251,957,195.0,experimental
252,8164,208.5,experimental
253,62334,216.99643675880657,predicted
254,2879,201.9,experimental
255,8797,210.0,experimental
256,7731,175.5,experimental
257,7463,177.0,experimental
258,235414,265.21997121451045,predicted
259,163588,182.26497208618798,predicted
260,16441,239.0,experimental
261,61005,214.4803594817596,predicted
262,19089,186.0,experimental
263,108312,201.8086544720859,predicted
264,60995,220.0,experimental
265,7654,238.5,experimental
266,6054,220.0,experimental
267,7655,230.0,experimental
268,31225,244.5,experimental
269,7459,185.01238288350612,predicted
270,160641,192.85561078174715,predicted
271,95560,142.19012394165816,predicted
272,14489,151.5,experimental
273,7770,142.5,experimental
274,7803,123.0,experimental
275,7391,193.24968357767057,predicted
276,36081,197.0244166658041,predicted
277,7725,204.0,experimental
278,21648,200.0,experimental
279,113514,248.5,experimental
280,27866,185.01238288350612,predicted
281,7007,309.86233748650454,predicted
282,108443,216.88658064255333,predicted
283,61041,162.47304529077724,predicted
284,119897,185.01238288350612,predicted
285,6736,265.5,experimental
286,62341,174.8030584030805,predicted
287,8432,192.40925826969408,predicted
