,CID,f1_mass_PC1,f2_lipophilicity_PC1,f3_lipophilicity_extended_PC1,f3_lipophilicity_extended_PC2,f3_lipophilicity_extended_PC3,f3_lipophilicity_extended_PC4,f4_volume_PC1,f5_volume_PC1,f6_volume_PC1,f7_surface_shape_Mor_PC1,f7_surface_shape_Mor_PC2,f7_surface_shape_Mor_PC3,f7_surface_shape_Mor_PC4,f7_surface_shape_Mor_PC5,f7_surface_shape_Mor_PC6,f7_surface_shape_Mor_PC7,f8_surface_shape_RDF_PC1,f8_surface_shape_RDF_PC2,f8_surface_shape_RDF_PC3,f8_surface_shape_RDF_PC4,f8_surface_shape_RDF_PC5,f8_surface_shape_RDF_PC6,f8_surface_shape_RDF_PC7,f8_surface_shape_RDF_PC8,f9_whim_PC1,f9_whim_PC2,f9_whim_PC3,f9_whim_PC4,f10_geometry_topology_PC1,f10_geometry_topology_PC2,f10_geometry_topology_PC3,f10_geometry_topology_PC4,f10_geometry_topology_PC5,f10_geometry_topology_PC6,f10_geometry_topology_PC7,f10_geometry_topology_PC8,f11_spatial_autocorrelation_PC1,f11_spatial_autocorrelation_PC2,f11_spatial_autocorrelation_PC3,f11_spatial_autocorrelation_PC4,f11_spatial_autocorrelation_PC5,f11_spatial_autocorrelation_PC6,f11_spatial_autocorrelation_PC7,f11_spatial_autocorrelation_PC8,f12_polarity_PC1,f13_p_vsa_logp_PC1,f13_p_vsa_logp_PC2,f13_p_vsa_logp_PC3,f13_p_vsa_logp_PC4,f13_p_vsa_logp_PC5,f14_spdiam_PC1,f14_spdiam_PC2,f14_spdiam_PC3,f14_spdiam_PC4,bp_value
0,179,-2.286230105668809,-3.199504368182656,-4.752107860182989,0.2726817957701107,-1.4954692410649573,-0.0439732785729387,-2.3308953676602107,-2.267295820685302,-2.3496777631105927,8.84608626832192,-9.578540829263178,-5.365176518257428,5.427897918939954,-0.2334393174344083,-0.7224258587932917,-2.817937926621616,-12.851814428838598,1.0573638381965251,-0.5303279255453076,-0.1396510979795309,0.2512351467605897,0.2502929070859206,0.8543251816318034,-0.6166177899411458,-2.594450366585835,-1.3626999071711876,-0.1961413313874009,0.1675039302132169,-25.49786639848688,-1.4517658873239774,-1.236187624819765,6.967604281653019,-6.581874984891026,9.916550369911793,7.704003897252205,1.4808560932648214,-6.391473777966804,0.7647606221537375,7.783476615286854,-5.205000994183032,-0.8906631712621785,-0.6018323989164753,-1.0869374190484913,-4.094291677094099,-3.2660099755732617,-1.7091085175148122,-0.6514716165785421,-1.76984900606906,0.0423634404061761,-0.5855598962955074,-2.207576332116123,-1.116572101726451,-1.0309907683767638,0.2241497072306655,-1.2265134343306372
1,240,-1.7852539650181038,-0.9058345082311758,-2.048199827227944,-0.1734419080943986,-0.0122131869457149,0.0735013820409828,-1.9400705593424952,-1.9745373282945196,-1.8704566995284333,15.515095251799032,-2.814353879298705,0.5623134175131809,2.7444464281607432,-3.5610972184719927,0.2287615236356582,0.9095108915685348,-13.792121485380664,1.301859851858136,-0.926329192914872,0.2341664651723157,-0.0952226548979356,1.015728131537917,0.5525724054786462,-1.4932607952135766,-2.579790003686892,-0.8806238614404271,-1.528350719629467,0.0404283700931034,-19.648403325131312,4.950485450036921,-2.530613561379505,-4.096229338507199,-3.0364737847563776,0.8705775726674021,-0.6533408423418188,1.5162813114972378,-2.5794852890562137,-5.328197776033425,0.8198792366116886,-2.244802532688712,-8.271056425626089,0.5909514254607721,1.4497115193237886,-1.394345370417429,1.3117063082147795,-2.234276179682803,0.1481973244205987,-1.8273108712424424,0.561739106072696,-0.3240153201808415,-1.4786883848982304,-0.8736869638288476,-0.9653213773999192,-0.3317663197998376,-0.5869981452974655
2,244,-1.7290645255892072,-1.110482746362185,-2.4983955260528634,-0.2626011608264856,-0.1430034493707004,0.1354324281116952,-1.8071310806735876,-1.909752548754564,-1.7267994182384463,16.197014400249437,-1.7690806178637517,0.7673296977429364,0.7633898573383329,-3.987732232877105,-0.2981560097908195,1.0194486880740403,-11.830932836614322,0.851969755673247,-0.5966032367110783,0.0406908293807114,-0.1982605251319874,0.5017762446751468,0.5442274071175373,1.428183820200703,-2.2516643992934373,-0.9579085015759766,-0.7511094666035868,0.0616205219756335,-23.412682646100755,-4.238435994780745,2.2076646672732463,5.760757529502394,-3.110267082445942,3.0177472453439225,-1.0179153990891157,7.090840599644646,-4.436890490670828,-3.0310839699142424,2.210867071555527,-2.8158156374303958,-3.4294437392995665,1.235383035606457,3.112599506085707,-1.2064396754533335,0.1106223327654413,-2.565264701460301,-2.7240889691795296,-0.667275180408342,0.5410622867151618,-0.3920527268349674,-1.4786883848982304,-0.8736869638288476,-0.9653213773999192,-0.3317663197998376,-0.04482918940649352
3,323,-0.67203546702581,-0.3355787435515092,-1.273645935504104,-0.4402553494301806,0.0691045331223997,0.0991894987969004,-1.3559907179751711,-1.2778555513478012,-1.13036273614643,17.418083223567805,2.575240218942106,0.83389900134813,3.0850797687617293,-2.7608790991015004,2.4832917191443,2.9622615441311724,-11.682689367055236,0.0702377352785589,-0.2113489180426146,-0.3036117923467581,0.7987461864863257,1.046121286706889,0.9923168664363934,-3.0143442558584117,-2.0573021206034587,-0.5189450550786688,-1.6741944153061887,-0.0375832325404868,-15.565215896657538,1.9640455501778693,-0.2105370463211859,-0.6899171772974272,-0.6344200127184065,-0.1911109855153609,-0.0601196109877791,-0.934220329685874,-1.5648348546854498,-4.2670438938892365,-2.042510549413283,-0.1431748692471717,-4.4084145504911,1.8594305986787825,-1.0121748779159654,3.623191203600665,2.7847338252752865,-2.980041624301761,0.1051308913934104,0.3522924713099152,0.2533417804005456,-0.2579518474353592,0.1451305885128721,-0.4685537072930623,-1.0859647969574204,-0.5305839576523762,1.8601273088763934
4,326,-0.6144551998882777,0.1909880714147953,0.0825306181903468,-0.1531260609148441,0.1569496788786647,0.0089792384483664,-0.6330670138504672,-0.7009274577931225,-0.6217014707059813,9.4668259052294,0.8705896691557395,0.8576536656868814,0.2435554304876494,-3.2606012291043616,1.3438639847045208,0.8859281014972601,-6.5331584004827885,-0.8719004090402173,0.376007331950769,-0.0308853959360841,-0.2602023283418193,0.6407502729717588,-0.6143263950644863,-2.131203440681123,-0.9986258313596902,-0.5291598581161674,0.4599172521689861,0.060722513540249,-8.11494912612652,-3.7804904672607385,1.2068059459127267,1.2409373572180504,0.3489010804825175,1.7109668070143833,1.7918770550519598,1.4047493336981742,-0.2699740477223146,0.6354695412242466,-4.43284071121396,-3.081998179894081,-0.3935543121864037,-5.745026723116324,0.9005516710184568,1.403788517732033,0.8358051103952305,-1.5408027952902732,0.3803448597135636,-1.25047120250532,0.0033736757737501,0.332069534710226,-0.1042807917438956,-0.1993118446624842,-0.7166116199176785,-0.2277277462813889,-1.0982302240802941
5,454,-1.1702299522592423,0.5565955979634524,0.4589142872027072,-0.5624263351067122,0.0853309830238792,0.0201122079033086,-0.7697307963290269,-0.7848531949244282,-0.8798484258893171,-4.6238674238259305,-7.302498094941296,7.589645618479503,3.6014301167201173,-1.234702427900216,1.4371027618665602,0.7546000147329167,-6.626392843475081,2.0039946906770867,-0.3927696995184876,0.4548233256364478,-1.1163806981637738,-1.6215077208450153,-1.9235096036029304,0.0638073173288904,-1.815770081525094,0.6723764805096234,0.2390716638250424,-0.0050045040310224,-7.147703348001237,5.418730544703048,-3.2962871069737387,-5.748292096445328,0.0801321935263851,-0.2899396046721566,2.958753118272687,-5.1907468326615085,4.614720504647259,1.6081740105486453,2.0312904882312406,-2.1164402688494146,-1.0829640134552525,-1.0425708622752137,0.2125107936865665,0.9080738571785788,-0.591898483063417,0.9107362585155744,0.9244196881095462,-1.3726695309265728,0.2239754722366034,-0.4496026844764558,-2.724672918367156,-0.1800247667072242,0.261974575546273,-0.0234222812415786,-1.9047879497551412
6,798,-1.4784373724929911,-0.8311034100372677,-1.5298310055786102,0.1953870329514027,0.1217802238731778,-0.0375355148787954,-1.713115118649453,-2.06656116286832,-1.5141757381507983,16.852709024130572,-1.2419861092998317,2.521827740107127,2.9558145531947675,-10.09000679336433,-0.9054847436056528,1.0187578421843209,-13.046151965721554,0.8048685159529219,-0.4285282524087159,-0.1529527765907324,0.4322866336452062,0.6799559220124491,0.7994857944318408,-2.449559983691846,-2.285238355009532,-0.7391782562823086,-1.6486295689548178,-0.0272909903210077,-15.96904859429486,5.627607483252515,-6.314853373966836,-7.415640669075106,-3.648490122679656,0.2830580240753293,-1.8192836182508485,2.7064955686021963,-6.795307280542343,-3.5499752115134555,3.648656943837654,-2.6979160467288743,0.3327624309118832,-0.7752571243288272,3.29041295894647,0.4893663700915245,3.645888373710661,-2.957296366681948,-1.1175343247496188,0.910464721224576,-0.3198993338805018,-1.1494242936427357,0.0656479186273994,-3.312305583939769,0.8999959337272238,-0.3623152015106936,0.9331163925996945
7,957,-1.1140405128303468,0.7233034323960161,0.6775189214328187,-0.7177774424540568,0.047724563069029,0.0145467735347743,-0.6367913176601192,-0.7200684153844731,-0.7361911445993299,-5.3951820399970885,-6.251983602300589,8.655960494956078,4.22061075127375,-2.7794684993079257,-0.0714262390308972,-1.475368727934152,-2.900998508821843,4.558158278742244,-0.9477749633621814,1.4052987500062224,-0.4003455487484516,-3.624092234206188,-4.579369049361794,1.3434612075159658,-1.533493663345464,0.9631754475923784,0.3654390196796204,-0.0674779382788974,-3.544793249731713,9.459566726986388,-5.233280022666633,-7.475186274110131,-1.6087177535331758,-0.0322129760829449,0.2752007951211516,-4.0628786633736125,3.792447181485454,2.8918073791584464,2.8712783136834217,-2.490503611489133,0.503091265044661,1.283885974524668,1.5780560308845604,0.1846763937484296,-1.2490953752904108,0.5797651447173972,-1.9478442418037412,-0.2126375920928273,0.2032752596491037,-0.5176584425637549,-2.724672918367156,-0.1800247667072242,0.261974575546273,-0.0234222812415786,-0.25875478547034714
8,1183,-0.5048579764477571,-1.8796382031579444,-3.019257940886297,0.3645008936754822,-0.2423216730444357,-0.1416137123224649,-1.1413890655287793,-1.118592968312078,-1.0643948764269289,18.29606365030219,2.554384976626473,-0.5917933230461662,3.463678665288646,-1.2564865502767828,1.760833613053714,-2.37707652378952,-9.63127328088867,-0.1742511541586347,-0.4688661218091941,0.1335179228370645,-0.1929902493567517,1.6758687393192198,0.1064161107160805,2.0803183808617174,-0.96778369722144,-0.8988625950519609,-2.3341308885138647,-0.4303794208351904,-16.360402896920437,-4.896333994013372,7.584903824184445,2.514011672503965,6.252072051890099,-8.155950504856705,-8.716942787602896,2.1214682865095957,-4.148102356396175,-3.8764327717399727,-1.343614913286214,0.0551039473217366,-1.4972451826456508,1.649763700490547,0.2207447200746351,0.8647795267279229,-0.1839831706466604,-2.711606361290615,3.0129054354308957,-0.8631761787789805,0.70336945235828,0.5796211420016031,0.0055104009292561,-0.374346161583416,-0.9515096258978384,-0.2905496494252982,1.585080113937153
9,2345,1.1669169293327737,1.100408050974505,1.6238285537993755,-0.6510099788903778,-0.0405059240240891,-0.0315164123497442,0.5564392882809645,0.4477753945801023,0.6633088215160317,17.15772313337903,14.091065175329543,6.975314014914083,-3.482703491072275,0.0683787681599956,0.4953600781436382,2.0439421823885406,2.432029929598054,3.069786267042227,-6.5549241248097685,4.558085838079621,-4.005448521507241,1.9749431903102928,2.626144456410854,-2.9744382017329705,1.3502927608736737,1.0097524379887273,0.2038132770028602,0.3269469050832389,1.7528784078239354,1.285102916420741,13.34214893974498,1.597886990645451,-1.3433296064531717,5.168969762951367,1.5855427300361888,3.6783936074911634,0.4896368846055708,-2.9045824165731275,-2.8035434263834422,-0.1195248630512919,-2.079035098191889,-0.6835276453263737,1.288340441580676,-3.356948005443653,2.2635087038538755,-2.5522132944260547,-0.9518954273253286,0.6931667924133577,1.234481308621337,1.0533464622846545,0.7758895731395941,1.4559269819349103,0.8475522971053567,-0.1862424275210618,2.3592870330253852
