Eig07_AEA_dm_,HTm,Eig09_AEA_ri_,ATS6m,Mor11u,SpDiam_X,Psi_i_0d,SpMaxA_AEA_dm_,P_VSA_v_2,Mor17v,BP,log_vp,vp
0.468,4.256,0.0,2.542,-0.624,2.0,0.001,0.27,36.145,-0.164,230.0,-2.3142402172088623,0.0048502015133457
0.445,4.361,0.0,2.4,0.377,2.0,-0.001,0.28,47.145,-0.082,210.5426747671678,-1.9803500175476076,0.0104628495982559
-0.758,3.848,-0.811,1.774,-0.98,1.959,0.007,0.373,36.145,-0.45,234.0,-0.5220451951026917,0.3005763489861935
-0.66,3.403,-0.932,1.68,0.533,2.0,0.008,0.307,36.145,-0.044,202.5,-1.401079773902893,0.0397118597563534
-0.28,3.995,-0.648,2.129,-1.158,1.97,-0.003,0.339,36.145,-0.494,205.8459721688539,-0.7673310041427612,0.1708712497461579
0.462,4.37,0.018,2.41,-1.128,1.982,-0.001,0.287,36.145,-0.614,233.10946680371035,-1.7683387994766235,0.0170475196818889
-1.0,2.733,-1.0,0.982,-0.155,2.0,-0.014,0.333,25.145,-0.13,204.0,-0.6020599913279624,0.25
-1.0,2.134,-1.0,0.967,-0.082,2.0,-0.013,0.319,11.0,-0.098,175.5,-0.3880552947521209,0.4092085556229979
-0.875,2.875,-0.854,1.48,0.382,2.0,0.008,0.291,53.683,-0.017,259.5,-1.3391293287277222,0.0458005476770374
0.0,1.75,0.0,0.463,-0.557,2.0,-0.046,0.613,36.145,-0.161,99.0,1.6020599913279625,39.99999999999999
-1.409,2.051,0.0,1.069,-0.691,2.0,0.025,0.526,36.145,-0.225,120.5,1.146128035678238,13.999999999999998
-1.293,2.093,0.0,1.52,-0.743,2.0,-0.013,0.46,36.145,-0.267,142.5,0.5542358756065369,3.5829098057434394
-0.111,4.347,-0.221,2.597,-1.165,2.0,-0.001,0.252,36.145,-0.457,235.0,-1.681812047958374,0.0208059692380749
-1.0,2.8,-0.656,2.248,-1.898,2.0,-0.003,0.241,42.683,-0.568,144.77291557523586,-1.4588584899902344,0.0347649420673685
-0.32,3.1,-0.616,2.192,-1.212,2.0,-0.004,0.297,25.145,-0.456,206.5,-0.7863689064979553,0.1635426736640632
