,residual,residual,residual,residual,residual,residual,residual,residual,abs_error,abs_error,abs_error,abs_error,abs_error,abs_error,abs_error,abs_error
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
has_aldehyde,,,,,,,,,,,,,,,,
0.0,268.0,-0.9686584874053499,9.827040331589567,-29.088231506347654,-7.052291412353514,-1.0328654479980486,4.936509628295898,29.69101226806641,268.0,7.593438034626975,6.295734889862534,0.05817886352539148,2.6390045928955104,5.6040480804443344,11.177182235717773,29.69101226806641
1.0,44.0,5.793332061767578,11.258580659056717,-26.82846420288086,-0.6492477035522466,4.131432418823241,13.055444679260253,33.37947570800782,44.0,9.47014143857089,8.326440966330777,0.6194775390625011,3.6314841079711897,6.032637329101561,13.413254890441896,33.37947570800782
