,CID,Canonical_Name,Imax,vp_exp,predicted_log_vp,vp_source,log_vp
114,7016,2-CYCLOHEXYLCYCLOHEXANONE,16.0,,-1.0738445520401,predicted,-1.0738445520401
115,7041,"2,6-DIMETHOXYPHENOL",50.0,,-1.9667584896087646,predicted,-1.9667584896087646
116,7043,VERATROLE,34.0,,-0.7062180042266846,predicted,-0.7062180042266846
117,7047,QUINOLINE,67.0,0.06000493,0.0,experimental,-1.2218130665523859
118,7055,2-METHYLNAPHTHALENE,48.0,0.055,0.0,experimental,-1.2596373105057561
119,7059,6-METHYLQUINOLINE,50.0,3.0,0.0,experimental,0.47712125471966244
120,7095,BIPHENYL,18.0,0.00892573,0.0,experimental,-2.049356254542725
121,7122,NAPTHYL METHYL KETONE BETA (ORANGER CRYSTALS),40.5,,-1.7749991416931152,predicted,-1.7749991416931152
122,7127,METHYL EUGENOL,30.0,0.02,0.0,experimental,-1.6989700043360187
123,7128,METHYL ISOEUGENOL,21.5,,-1.4959099292755127,predicted,-1.4959099292755127
124,7136,ACETYL EUGENOL,35.0,,-2.4955875873565674,predicted,-2.4955875873565674
